date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:10	210/210	---M--	200	added ('OK')	image/png	etag:W/%22210-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/menu-item-tip.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/menu-item-tip.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:12	43/43	---M--	200	added ('OK')	image/gif	etag:W/%2243-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/spacer.gif	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/spacer.gif	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:14	829/829	---M--	200	added ('OK')	image/png	etag:W/%22829-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/menuitem.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/menuitem.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:22	78/78	---M--	200	added ('OK')	image/png	etag:W/%2278-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/subitem.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/subitem.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:26	79/79	---M--	200	added ('OK')	image/png	etag:W/%2279-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/sheet_s.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/sheet_s.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:28	83/83	---M--	200	added ('OK')	image/png	etag:W/%2283-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/sheet_h.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/sheet_h.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:33	83/83	---M--	200	added ('OK')	image/png	etag:W/%2283-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/sheet_v.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/sheet_v.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:42	265/265	---M--	200	added ('OK')	image/png	etag:W/%22265-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/vmenuitem.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/vmenuitem.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:46	1440/1440	---M--	200	added ('OK')	image/gif	etag:W/%221440-1597561249595%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/vsubitem.gif	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/vsubitem.gif	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:52	884/884	---M--	200	added ('OK')	image/png	etag:W/%22884-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/block_s.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/block_s.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:52:55	132/132	---M--	200	added ('OK')	image/png	etag:W/%22132-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/block_h.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/block_h.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:02	126/126	---M--	200	added ('OK')	image/png	etag:W/%22126-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/block_v.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/block_v.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:05	86/86	---M--	200	added ('OK')	image/png	etag:W/%2286-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/blockcontentbullets.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/blockcontentbullets.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:10	1666/1666	---M--	200	added ('OK')	image/png	etag:W/%221666-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/button.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/button.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
